Details,Posting Date,Description,Amount,Type,Balance,Check or Slip Number
Transaction 47,2024-03-01,Dragon egg incubator,-189.50,Debit,-5304.42,CHK047
Transaction 48,2024-03-02,Griffin feather pillow,-67.25,Debit,-5371.67,CHK048
Transaction 49,2024-03-03,Phoenix rebirth insurance,-350.00,Debit,-5721.67,CHK049
Transaction 50,2024-03-04,Mermaid singing lessons,-125.99,Debit,-5847.66,CHK050
Transaction 51,2024-03-05,Siren call protection wax,-15.75,Debit,-5863.41,CHK051
Transaction 52,2024-03-06,Giant's strength gauntlets,-445.50,Debit,-6308.91,CHK052
Transaction 53,2024-03-07,Dwarf battle axe sharpening,-89.25,Debit,-6398.16,CHK053
Transaction 54,2024-03-08,Elf leaf armor weave,-267.99,Debit,-6666.15,CHK054
Transaction 55,2024-03-09,Werewolf transformation cure,-499.99,Debit,-7166.14,CHK055
Transaction 56,2024-03-10,Vampire garlic necklace,-34.50,Debit,-7200.64,CHK056
Transaction 57,2024-03-11,Zombie plague vaccine,-299.75,Debit,-7500.39,CHK057
Transaction 58,2024-03-12,Ghost banishment ritual,-189.99,Debit,-7690.38,CHK058
Transaction 59,2024-03-13,Poltergeist containment box,-145.25,Debit,-7835.63,CHK059
Transaction 60,2024-03-14,Medusa gaze protection,-234.50,Debit,-8070.13,CHK060
Transaction 61,2024-03-15,Cerberus three-headed dog treats,-45.99,Debit,-8116.12,CHK061
Transaction 62,2024-03-16,Hydra head regrowth prevention,-678.25,Debit,-8794.37,CHK062
Transaction 63,2024-03-17,Kraken tentacle hooks,-156.75,Debit,-8951.12,CHK063
Transaction 64,2024-03-18,Leviathan scale polish,-89.99,Debit,-9041.11,CHK064
Transaction 65,2024-03-19,Sea serpent oil,-67.50,Debit,-9108.61,CHK065
Transaction 66,2024-03-20,Storm giant beard comb,-23.75,Debit,-9132.36,CHK066
Transaction 67,2024-03-21,Frost giant ice pick,-145.99,Debit,-9278.35,CHK067
Transaction 68,2024-03-22,Fire elemental extinguisher,-199.50,Debit,-9477.85,CHK068
Transaction 69,2024-03-23,Earth elemental grounding rod,-134.25,Debit,-9612.10,CHK069
Transaction 70,2024-03-24,Air elemental wind socks,-45.75,Debit,-9657.85,CHK070
Transaction 71,2024-03-25,Water elemental raincoat,-89.99,Debit,-9747.84,CHK071
Transaction 72,2024-03-26,Lightning rod for wizards,-234.50,Debit,-9982.34,CHK072
Transaction 73,2024-03-27,Magic wand recharging,-67.25,Debit,-10049.59,CHK073
Transaction 74,2024-03-28,Spellbook page replacement,-156.99,Debit,-10206.58,CHK074
Transaction 75,2024-03-29,Alchemy transmutation fee,-445.75,Debit,-10652.33,CHK075
Transaction 76,2024-03-30,Potion bottle recycling,-12.50,Debit,-10664.83,CHK076
Transaction 77,2024-03-31,Enchanted ink for scrolls,-78.99,Debit,-10743.82,CHK077
Transaction 78,2024-04-01,Rune stone carving,-189.25,Debit,-10933.07,CHK078
Transaction 79,2024-04-02,Celestial navigation charts,-299.99,Debit,-11233.06,CHK079
Transaction 80,2024-04-03,Astral projection lessons,-399.50,Debit,-11632.56,CHK080
Transaction 81,2024-04-04,Dream walking guide,-145.75,Debit,-11778.31,CHK081
Transaction 82,2024-04-05,Nightmare protection amulet,-234.99,Debit,-12013.30,CHK082
Transaction 83,2024-04-06,Prophecy interpretation,-199.25,Debit,-12212.55,CHK083
Transaction 84,2024-04-07,Oracle consultation fee,-299.99,Debit,-12512.54,CHK084
Transaction 85,2024-04-08,Fate weaving thread,-67.50,Debit,-12580.04,CHK085
Transaction 86,2024-04-09,Time crystal polishing,-145.25,Debit,-12725.29,CHK086
Transaction 87,2024-04-10,Dimensional anchor,-999.99,Debit,-13725.28,CHK087
Transaction 88,2024-04-11,Portal key duplication,-189.50,Debit,-13914.78,CHK088
Transaction 89,2024-04-12,Shadow realm flashlight,-89.75,Debit,-14004.53,CHK089
Transaction 90,2024-04-13,Mirror dimension cleaner,-45.99,Debit,-14050.52,CHK090
Transaction 91,2024-04-14,Alternate universe translator,-345.25,Debit,-14395.77,CHK091
Transaction 92,2024-04-15,Quantum entanglement ring,-799.99,Debit,-15195.76,CHK092
Transaction 93,2024-04-16,Probability manipulation dice,-156.50,Debit,-15352.26,CHK093
Transaction 94,2024-04-17,Luck manipulation charm,-234.75,Debit,-15587.01,CHK094
Transaction 95,2024-04-18,Chaos magic stabilizer,-445.99,Debit,-16032.99,CHK095
Transaction 96,2024-04-19,Order magic harmonizer,-378.25,Debit,-16411.24,CHK096
Transaction 97,2024-04-20,Elemental balance scales,-199.50,Debit,-16610.74,CHK097
Transaction 98,2024-04-21,Mana crystal recharging,-145.75,Debit,-16756.49,CHK098
Transaction 99,2024-04-22,Spirit guide summoning,-299.99,Debit,-17056.48,CHK099
Transaction 100,2024-04-23,Ancestral weapon blessing,-189.25,Debit,-17245.73,CHK100
Transaction 101,2024-04-24,Heroic deed notarization,-75.50,Debit,-17321.23,CHK101
Transaction 102,2024-04-25,Legendary status application,-999.99,Debit,-18321.22,CHK102
Transaction 103,2024-04-26,Mythical creature veterinary,-345.75,Debit,-18666.97,CHK103
Transaction 104,2024-04-27,Dragon language lessons,-299.50,Debit,-18966.47,CHK104
Transaction 105,2024-04-28,Phoenix feather cleaning,-67.25,Debit,-19033.72,CHK105
Transaction 106,2024-04-29,Unicorn horn sharpening,-189.99,Debit,-19223.71,CHK106
Transaction 107,2024-04-30,Griffin wing clipping,-145.50,Debit,-19369.21,CHK107
Transaction 108,2024-05-01,Pegasus horseshoe blessing,-234.25,Debit,-19603.46,CHK108
Transaction 109,2024-05-02,Centaur bow restringing,-89.75,Debit,-19693.21,CHK109
Transaction 110,2024-05-03,Minotaur maze navigation,-156.99,Debit,-19850.20,CHK110
Transaction 111,2024-05-04,Basilisk eye protection,-199.25,Debit,-20049.45,CHK111
Transaction 112,2024-05-05,Troll bridge toll,-25.00,Debit,-20074.45,CHK112
Transaction 113,2024-05-06,Knight's pension payment,300.00,Credit,-19774.45,DEP113
Transaction 114,2024-05-07,Royal treasury stipend,400.00,Credit,-19374.45,DEP114
Transaction 115,2024-05-08,Dragon hoard share,1200.00,Credit,-18174.45,DEP115
